red,ir
16015,15770
15530,15330
14989,15016
14788,15128
14831,15235
14896,15315
14934,15365
15089,15437
15114,15561
15303,15746
15505,15905
15710,16109
15952,16296
16113,16331
16210,16365
16284,16423
16415,16433
16424,16507
16564,16622
16717,16667
16650,16492
16576,16348
16186,15798
15452,15218
14898,14941
14710,14785
14436,14695
14367,14653
14448,14730
14513,14757
14570,14822
14654,14862
14834,15091
15011,15126
15129,15205
15244,15300
15349,15268
15442,15392
15589,15566
15729,15614
15869,15731
15996,15743
16030,15718
16071,15643
15743,15340
15153,14842
14667,14568
14371,14483
14224,14431
14157,14421
14187,14411
14224,14478
14387,14588
14445,14755
14622,14829
14785,14989
14914,15063
15097,15243
15263,15275
15452,15462
15589,15591
15831,15828
16005,16104
16303,16331
16534,16460
16601,16470
16666,16545
16473,16196
15830,15748
15389,15614
15274,15631
15107,15534
15015,15489
15036,15604
15235,15768
15364,15838
15496,15945
15656,16044
15765,16024
15887,16069
15918,16064
16018,16059
16052,16114
16172,16174
16229,16166
16350,16258
16446,16306
16452,16161
16422,16087
15995,15609
15362,15061
14713,14697
14434,14618
14268,14478
14086,14316
14078,14364
14188,14409
14319,14503
14374,14531
14518,14653
14636,14790
14813,14829
14945,14902
15044,14966
15157,15038
15303,15096
15418,15238
15582,15320
15716,15385
15735,15322
15760,15178
15473,14854
14799,14237
14163,13871
13760,13649
13514,13587
13343,13400
13274,13400
13318,13505
13496,13639
13582,13811
13771,13998
14024,14190
14210,14262
14364,14384
14544,14536
14791,14725
14939,14894
15256,15203
15445,15387
15658,15569
15883,15810
16089,15848
16135,15873
15981,15616
15393,15131
14800,14775
14530,14755
14367,14747
14285,14655
14303,14787
14518,15011
14722,15113
14828,15228
15073,15482
15294,15546
15439,15596
15490,15606
15569,15571
15644,15619
15747,15778
15933,15858
16009,15843
16091,15925
16130,15773
16101,15653
15691,15290
15024,14715
14390,14264
14023,14199
13908,14177
13763,13988
13744,14100
13927,14209
14054,14252
14086,14404
14321,14501
14426,14526
14558,14670
14750,14775
14881,14757
14954,14864
15144,14954
15325,15121
15365,15103
15471,15078
15439,15016
15507,15113
15331,14563
14493,13836
13766,13430
13379,13176
13113,13136
13000,13226
13157,13318
13272,13410
13417,13577
13582,13764
13890,14102
14215,14416
14445,14399
14577,14625
14811,14834
15015,14889
15060,14879
15209,15170
15474,15292
15656,15407
15775,15539
15884,15519
15936,15489
15554,15073
14900,14583
14353,14324
14113,14284
14019,14252
13937,14212
14036,14421
14265,14506
14436,14658
14547,14730
14728,14834
14867,15029
15086,15160
15259,15205
15350,15275
15501,15422
15658,15442
15754,15521
15831,15579
15971,15534
15846,15392
15725,15205
15204,14750
14563,14316
14101,14080
13828,13883
13613,13774
13486,13754
13600,13843
13685,13901
13758,13903
13833,13998
14027,14132
14187,14247
14319,14282
14508,14429
14634,14523
14788,14643
14952,14745
15088,14857
15212,14889
15319,14934
15380,14857
15340,14747
15063,14274
14204,13692
13629,13256
13143,13000
