red,ir
15266,15671
14957,15453
14772,15306
14764,15410
14899,15481
15055,15543
15087,15695
15274,15813
15481,15904
15627,16098
15868,16245
16012,16392
16223,16563
16388,16658
16546,16862
16528,16482
15976,16136
15537,15885
15388,15771
15230,15785
15338,15923
15515,15942
15583,15994
15695,16141
15850,16212
16028,16416
16223,16497
16434,16663
16540,16772
16729,16857
16823,17000
17000,16895
16502,16520
16010,16146
15595,15923
15455,15752
15362,15704
15426,15885
15575,15894
15663,15908
15784,16093
15960,16150
16133,16354
16303,16440
16478,16615
16598,16705
16829,16791
16881,16919
16911,16648
16297,16198
15776,15866
15467,15614
15210,15410
15182,15477
15266,15496
15396,15524
15473,15572
15611,15681
15679,15766
15966,15932
16032,16093
16241,16226
16396,16288
16570,16454
16761,16492
16520,16131
15884,15619
15436,15315
15127,15168
14977,15031
15023,15031
15079,15173
15222,15211
15348,15268
15471,15429
15683,15586
15822,15657
16008,15866
16205,15861
16396,16084
16502,16193
16676,16084
16127,15638
15553,15145
15073,14888
14829,14713
14744,14680
14843,14737
14981,14912
15103,14931
15268,15064
15364,15206
15605,15325
15741,15434
15918,15567
16113,15685
16245,15899
16440,15894
16275,15486
15589,14960
15057,14585
14718,14442
14524,14205
14550,14357
14650,14419
14778,14490
14816,14542
15005,14713
15186,14846
15354,15007
15579,15178
15756,15277
15934,15538
16151,15534
16273,15534
15683,14964
14993,14409
14447,14125
14158,13873
13992,13845
14044,14006
14217,14091
14347,14153
14503,14276
14696,14433
14945,14561
15073,14808
15314,14945
15509,15111
15683,15377
15888,15396
15741,14988
14971,14423
14331,13868
13892,13555
13532,13451
13544,13470
13663,13588
13803,13745
13964,13849
14158,13954
14395,14267
14632,14371
14917,14580
15059,14841
15368,15007
15571,15173
15719,15206
15202,14504
14419,13940
13894,13693
13570,13408
13410,13432
13482,13641
13731,13755
13853,13859
14022,14087
14291,14186
14526,14442
14776,14680
15021,14812
15272,15050
15418,15211
15701,15311
15364,14760
14574,14181
13982,13788
13621,13565
13426,13593
13540,13617
13751,13807
13803,13902
14050,14044
14231,14229
14465,14585
14738,14722
14987,14907
15234,15168
15493,15358
15739,15548
15561,15121
14833,14471
14076,14058
13687,13816
13378,13584
13378,13712
13587,13968
13757,14030
13948,14234
14112,14357
14417,14594
14576,14770
14859,15021
15119,15220
15332,15372
15555,15609
15673,15382
15037,14737
14203,14134
13681,13717
13207,13546
13029,13418
13173,13607
13336,13755
13514,13845
13705,13982
13982,14291
14229,14490
14522,14651
14672,14903
14981,15130
15252,15382
15451,15372
15158,14903
14329,14215
13725,13835
13272,13498
13037,13389
13021,13532
13300,13693
13512,13840
13641,14068
13888,14310
14150,14442
14443,14703
14662,14855
14981,15092
15174,15377
15416,15519
15461,15220
14674,14485
13972,14115
13544,13717
13268,13626
13193,13664
13484,13854
13550,14053
13743,14106
13944,14291
14152,14528
14429,14727
14656,14874
14913,15145
15134,15296
15428,15477
15481,15491
14963,14770
14156,14234
13615,13911
13302,13717
