red,ir
14383,15168
14695,15416
14919,15431
14867,15330
14668,15197
14683,15207
14725,15449
14990,15618
15241,15862
15511,16078
15726,16211
15885,16345
15993,16391
16085,16460
16210,16668
16337,16643
16442,16776
16562,16895
16734,17000
16462,16067
15037,14869
13882,14362
13725,14452
13966,14761
14330,14959
14568,15143
14757,15204
14718,15017
14478,14927
14435,14912
14553,15031
14772,15344
15022,15459
15294,15704
15514,15855
15668,15963
15740,16049
15893,16165
15965,16287
16118,16399
16224,16499
16427,16614
16542,16762
16703,16888
16434,15805
14922,14686
13931,14243
13742,14290
14046,14693
14448,14858
14765,15186
14994,15254
14939,15002
14647,14912
14572,14812
14618,15024
14855,15272
15119,15423
15388,15664
15615,15808
15735,15956
15882,15999
15970,16046
16083,16247
16164,16280
16322,16478
16449,16111
15521,14948
14154,14059
13602,13905
13659,14221
14148,14509
14373,14783
14698,14948
14752,14819
14595,14660
14411,14549
14423,14722
14630,14902
14870,15128
15169,15373
15393,15499
15551,15718
15705,15697
15825,15884
15917,15967
16048,16168
16167,16190
16345,16301
16411,16453
16617,16535
16342,15538
14750,14247
13619,13714
13420,13901
13760,14175
14158,14477
14416,14635
14568,14653
14498,14534
14315,14337
14259,14412
14348,14542
14630,14801
14813,15027
15136,15229
15254,15369
15416,15449
15506,15538
15641,15661
15770,15722
15860,15920
16017,16017
16189,16096
16327,16323
16462,16377
16606,16381
15882,14948
14304,13926
13488,13660
13567,13901
13949,14290
14360,14545
14580,14700
14763,14707
14627,14545
14456,14452
14450,14542
14610,14768
14934,15031
15219,15211
15454,15488
15681,15535
15836,15682
15865,15729
16015,15834
16072,15974
16237,16042
16300,16165
16459,16255
16561,16352
16663,16435
16227,15175
14727,14171
13879,13847
13807,14027
14146,14412
14528,14610
14884,14948
15042,14808
14847,14610
14558,14495
14558,14484
14632,14725
14932,14934
15159,15150
15411,15359
15620,15452
15743,15618
15845,15646
15932,15751
16065,15880
16189,15657
15347,14477
13972,13527
13350,13419
13487,13599
13872,13948
14136,14189
14413,14315
14466,14265
14346,14110
14186,14067
14258,14214
14476,14380
14713,14650
14952,14844
15116,14948
15287,15089
15401,15179
15521,15351
15596,15283
15665,15377
15693,15467
15858,15337
15159,14257
13801,13246
13000,13037
13121,13279
13508,13577
13796,13811
14048,13973
14154,13930
14026,13750
13904,13728
13972,13901
14183,14056
14505,14391
14822,14603
15102,14866
15229,14930
15354,15006
15426,15161
15581,15229
15713,15402
15875,15495
16017,15654
16172,15859
16374,15697
15469,14283
13924,13293
13173,13063
13272,13365
13657,13635
13996,13854
14154,13984
14259,13905
14041,13779
13944,13692
13939,13833
14161,14027
14446,14214
14683,14516
14920,14653
15055,14761
15216,14884
15317,14977
15451,15146
15596,15189
15750,15413
15912,15503
16043,15600
16135,15740
16374,15708
15523,14333
13951,13286
13163,13016
13191,13311
13569,13592
13906,13818
14164,13980
14274,13919
14129,13822
13951,13642
13974,13764
14123,13919
14391,14200
14603,14419
14912,14588
