red,ir
15116,14447
14504,13996
14144,13672
14023,13711
14059,13881
14312,14112
14466,14314
14649,14444
14810,14625
14944,14768
15125,14989
15313,15124
15461,15164
15271,14699
14721,14083
14146,13735
13918,13616
13912,13735
14088,13972
14329,14232
14543,14354
14721,14559
14859,14731
15059,14869
15184,15098
15395,15239
15409,15013
14967,14375
14332,13887
13962,13576
13835,13597
13903,13762
14152,14025
14317,14181
14480,14370
14628,14498
14762,14649
14938,14846
15119,14976
15238,14954
14945,14389
14319,13741
13775,13393
13530,13262
13519,13353
13681,13594
13912,13855
14102,13985
14303,14205
14454,14370
14681,14572
14846,14792
15059,14936
15074,14676
14553,14073
13952,13533
13579,13270
13457,13310
13583,13541
13852,13820
14069,14104
14294,14266
14491,14498
14685,14699
14918,14899
15144,15095
15306,15148
15097,14683
14532,14110
14022,13783
13830,13666
13817,13788
14012,14086
14254,14317
14470,14490
14638,14670
14825,14838
15032,15023
15187,15289
15415,15435
15508,15297
15164,14832
14640,14378
14300,14150
14188,14221
14302,14338
14554,14638
14755,14867
14962,15016
15129,15178
15285,15403
15485,15603
15692,15780
15891,15956
15906,15725
15528,15257
15025,14925
14819,14779
14798,14824
14904,15029
15053,15122
15163,15249
15302,15403
15436,15515
15587,15680
15702,15828
15867,15964
15906,15844
15589,15419
15096,14962
14764,14721
14619,14707
14672,14803
14856,15010
14993,15180
15173,15332
15308,15435
15458,15664
15626,15796
15802,15942
15918,15966
15698,15531
15214,15021
14750,14758
14576,14673
14600,14771
14767,15026
14994,15212
15174,15345
15330,15528
15494,15685
15667,15860
15778,16038
15968,16131
15977,15942
15601,15510
15140,15122
14876,15016
14848,15090
14991,15297
15190,15430
15300,15571
15455,15688
15569,15807
15672,15972
15824,16105
15984,16232
16129,16320
16031,15998
15619,15600
15201,15366
15097,15340
15177,15483
15326,15658
15489,15810
15624,15895
15760,16038
15884,16131
16040,16272
16139,16466
16312,16545
16372,16444
16066,16051
15634,15719
15398,15549
15416,15722
15557,15826
15740,15961
15828,16123
15954,16232
16065,16306
16211,16503
16350,16620
16485,16713
16567,16734
16404,16333
15958,15921
15579,15680
15475,15610
15457,15701
15618,15900
15760,15974
15882,16075
15984,16197
16092,16267
16214,16413
16298,16484
16440,16572
16301,16269
15877,15788
15434,15414
15175,15255
15093,15326
15204,15393
15404,15632
15523,15733
15665,15826
15731,15927
15868,16078
16021,16208
16166,16336
16203,16224
15849,15682
15367,15300
15002,15087
14925,15063
14962,15178
15159,15401
15359,15552
15521,15672
15655,15842
15781,15857
15854,15942
15892,16030
15923,15871
15534,15313
14937,14782
14480,14415
14241,14256
14208,14389
14336,14405
14450,14577
14513,14676
14662,14739
14728,14901
14906,15058
15079,15167
15206,15172
14987,14776
14431,14118
13906,13727
13525,13451
13420,13464
13462,13587
13634,13780
13793,13916
13962,14059
14122,14280
14293,14370
14497,14585
14635,14683
14560,14301
13975,13653
13413,13233
13108,13000
13000,13029
13088,13204
13278,13332
13469,13504
