red,ir
15207,15129
15363,15358
15536,15412
15674,15574
15709,15616
15894,15807
16041,15998
16258,16152
16352,16360
16542,16476
16700,16621
16803,16750
16946,16837
17000,16555
16409,15877
15641,15154
15208,14913
14997,14701
14947,14598
14844,14581
14997,14743
15078,14751
15140,14780
15120,14801
15219,14872
15389,15063
15563,15287
15721,15416
15859,15591
16051,15774
16187,15828
16304,16019
16330,15562
15631,14809
14890,14244
14557,14095
14350,13962
14359,13958
14313,14066
14532,14207
14677,14444
14826,14498
14903,14589
15028,14780
15201,14888
15376,15129
15543,15329
15685,15416
15859,15670
16018,15761
16201,15927
16161,15624
15561,14872
14697,14207
14285,13933
14109,13924
14081,13850
14055,13866
14193,14136
14480,14411
14609,14527
14736,14635
14923,14897
15150,15183
15368,15312
15517,15516
15699,15686
15959,15944
16025,16010
16139,15948
15863,15433
15034,14606
14374,14228
14179,14120
14098,14003
14024,14066
14096,14057
14271,14261
14466,14344
14434,14253
14475,14415
14625,14456
14800,14718
14969,14888
15175,15005
15192,15109
15425,15292
15486,15391
15418,14785
14605,14061
13984,13754
13721,13579
13598,13392
13518,13476
13634,13600
13930,13883
14118,14074
14249,14124
14333,14336
14548,14498
14688,14701
14894,14984
15153,15154
15326,15287
15457,15520
15596,15549
15723,15674
15819,15657
15576,15117
14697,14323
14140,13929
13815,13854
13677,13613
13585,13613
13632,13841
13993,14199
14256,14294
14403,14527
14541,14494
14738,14855
14868,14976
15113,15167
15247,15462
15490,15666
15639,15915
15828,16027
16012,16168
16122,16260
15832,15433
14899,14635
14318,14307
14037,13983
13818,13895
13763,13820
13890,13987
14081,14336
14477,14643
14587,14805
14730,14818
14771,14942
14999,15346
15328,15595
15455,15761
15659,15969
15859,16222
16100,16571
16306,16601
16365,16372
15602,15508
14933,15071
14557,14834
14440,14755
14311,14668
14340,14664
14572,14913
14771,15017
14769,14918
14756,14959
14892,15084
15065,15196
15205,15433
15385,15495
15549,15740
15674,15882
15834,15919
15900,16081
15810,15470
14879,14701
14320,14298
14116,14248
14026,14211
13976,14182
14061,14344
14392,14772
14625,14839
14804,15013
14874,14992
15034,15262
15175,15304
15328,15491
15462,15749
15756,15981
15815,16094
15997,16260
16115,16443
16262,16401
15983,15711
15047,14930
14495,14514
14203,14327
14105,14390
14120,14357
14234,14618
14532,14918
14795,15121
14887,15262
15078,15358
15183,15678
15473,15857
15604,16006
15799,16193
15977,16318
16106,16538
16257,16646
16372,16904
16630,17000
16582,16530
15733,15632
14830,14685
14252,14332
13956,13991
13745,13812
13528,13800
13682,13995
13918,14124
13971,14124
14020,14236
14175,14361
14432,14622
14618,14818
14874,15013
15002,15242
15216,15321
15299,15595
15521,15799
15705,15628
15133,14805
14261,14165
13739,13866
13583,13754
13465,13629
13553,13912
13796,14228
14173,14506
14267,14485
14396,14622
14447,14760
14598,14868
14773,15084
15019,15316
15208,15379
15299,15582
15460,15678
15545,15757
15664,15886
15709,15508
15034,14647
14114,13995
13649,13658
