red,ir
15931,16057
15730,15872
15801,15963
15968,16041
15908,16038
16042,16160
16314,16708
16747,16680
16543,16633
16773,16885
16852,16964
17000,16992
16988,17000
16931,16952
16940,16684
16317,16262
16087,16270
16243,16428
16336,16428
16138,16254
16118,16254
16124,16136
15877,15856
15602,15422
14917,15229
15019,15253
15124,15371
15169,15324
15033,15162
14871,15020
14849,15036
14766,14859
14574,14729
14458,14894
14701,14945
14625,14744
14347,14461
14035,14476
14211,14543
14336,14713
14534,14839
14684,14804
14571,15001
15010,15245
15070,15048
14764,15068
15002,15308
15240,15367
15319,15454
15353,15493
15492,15572
15404,15624
15486,15482
15339,15442
15282,15462
15228,15387
15163,15182
15027,15103
14778,14910
14752,14934
14744,15178
15175,15324
15296,15316
15231,15411
15435,15628
15583,15628
15600,15702
15668,15738
15801,15801
15673,15829
15778,15702
15611,15564
15367,15316
15030,15091
14948,15020
14956,15139
15055,15111
15081,15091
14945,15194
15081,15127
15084,15032
14820,14902
14840,14910
14843,15016
15019,15147
15007,15099
15112,15241
15209,15375
15223,15206
15084,15020
14747,14811
14659,14662
14511,14638
14843,15292
15676,15773
15693,15210
14999,14855
14639,14776
14871,14985
15234,15403
15512,15355
15345,15383
15959,16258
16475,16254
16121,15529
15135,14784
14562,14571
14276,14114
14248,14666
15047,15312
15563,15517
15925,15888
16090,16034
16271,15903
15761,15525
15608,15667
15914,15762
15937,15726
15693,15505
15506,15320
15430,15166
15194,15127
15163,14863
14866,14910
15177,15245
15265,15099
15189,15107
15251,15281
15367,15182
15398,15320
15554,15695
16101,15947
15991,15829
16036,15900
16005,15698
15804,15553
15498,15403
15585,15233
15285,15233
15481,15509
15526,15253
15192,15056
15078,14977
15004,14878
14823,14654
14628,14650
14676,14634
14826,14867
14931,14926
15061,14977
15002,14969
14956,14882
14951,14863
14934,14945
15055,15064
15075,14902
14985,14969
15055,15087
15214,14973
14851,14717
14639,14701
14761,14784
14863,14792
14820,14831
14823,14733
14880,14717
14514,14409
14381,14299
14259,14200
14324,14433
14500,14457
14412,14319
14409,14614
14764,14681
14741,14626
14594,14563
14715,14701
14645,14567
14523,14449
14486,14547
14599,14457
14398,14323
14296,14267
14435,14303
14370,14382
14395,14188
14098,13976
13916,14050
14262,14433
14670,14602
14664,14681
14919,14977
15299,15127
15243,15139
15251,15068
15172,14922
14840,14666
14718,14669
14758,14559
14687,14468
14443,14275
14361,14181
14166,14181
14305,14330
14477,14457
14602,14461
14523,14472
14676,14599
14868,14666
14718,14705
14962,14804
14951,14772
14911,14863
15002,14831
14970,14800
15036,14863
14897,14606
14673,14457
14475,14350
14384,14358
14387,14323
14415,14437
14418,14319
14299,14177
14273,14248
14248,14094
14032,13755
13656,13763
13741,13711
13763,13664
13582,13633
13664,13739
13701,13668
13851,13838
13831,13767
13885,13849
13616,13644
13610,13672
13707,13660
13749,13913
14038,14050
14030,13901
13976,13751
13721,13684
13809,13688
13673,13672
13542,13506
13486,13396
13307,13349
