red,ir
16229,16465
15864,16127
15608,16127
15193,15605
14694,15943
14669,15575
14840,15789
14986,16281
15267,16096
15583,16403
15778,16096
15974,16680
15998,16188
16278,17000
16034,16587
16510,16649
16034,16802
16485,16434
15608,16465
15157,15697
14718,15022
14267,15175
14023,15114
14145,15083
14499,15237
14633,14961
14669,15697
15011,14991
15230,15513
15267,15390
15523,15697
15352,15697
16047,15789
15523,15636
15766,15360
14694,14991
14401,14316
13914,14101
13585,14316
13572,14285
13633,14746
14060,14807
14426,14684
14621,15452
14791,14684
15157,15452
15279,15145
15510,15544
15486,15482
15876,15390
15559,15943
15730,15237
15011,15145
14950,14961
14291,14193
13926,14469
13719,14285
13865,15053
14291,14930
14633,15083
14864,15728
15035,15268
15401,15881
15474,15452
15778,16250
15730,16035
16205,16035
15705,15789
15730,15390
14718,15237
14547,14776
13828,14408
13621,14531
13706,14439
13926,14991
14243,14869
14328,14899
14718,15390
14828,14776
14986,15759
15267,15053
15596,15759
15449,15482
15876,15575
14986,14961
14864,14439
13950,14500
13719,13763
13097,13886
13000,13948
13097,13917
13402,14224
13889,14255
13853,14531
14170,14623
14389,14347
14523,15114
14889,14347
15206,15114
15132,14776
15535,15083
15193,14899
15169,14347
14060,14285
13962,13978
13316,13487
13073,13671
13438,13917
13475,14531
13987,14316
14157,14746
14426,14807
14755,14531
14962,15268
15230,14838
15571,15452
15644,15145
15803,15820
15705,15360
15583,14869
14706,14746
14584,14439
13670,14224
13633,14193
13719,14163
13841,14961
14243,14439
14365,14623
14669,14899
14791,14592
14962,15452
15279,14899
15498,15298
15571,15053
15803,15206
15254,14807
15157,14408
14218,14224
14170,13702
13475,13763
13414,14070
13950,14070
14048,14439
14291,14654
14426,15114
14986,15268
14962,14838
15279,15421
15364,14869
15718,15452
15754,15175
15986,15421
15449,15175
15328,14377
14389,14469
14426,14193
13450,14193
13816,14193
13926,14132
14340,14654
14584,14623
14608,15145
15108,14807
15340,15145
15462,15145
15681,15145
15986,15820
16181,15083
16266,15544
15998,15237
15754,15206
15096,14807
15035,14224
14255,14531
14718,14654
14584,14961
14950,14930
15254,14991
15157,15544
15608,15697
15669,15237
15778,16219
16144,15544
16388,15974
16266,15513
16242,15482
15425,14838
15303,14347
14243,14347
14377,14132
13877,14562
14267,14439
14718,14408
14889,15206
15169,14961
15413,15421
15462,15145
15778,14991
15888,15544
15998,15298
16498,15851
16254,15452
16132,15053
15206,14991
15291,14132
14060,14316
14194,13856
13999,13948
14133,14347
14645,14408
14706,14838
15193,14961
15230,15083
15583,15360
15888,15022
16034,15697
16156,15452
16522,15789
16473,15421
16656,15390
15974,15022
15900,14746
14852,14562
14718,14531
14547,14285
14645,14715
15120,15083
15181,15237
15242,14746
15535,14991
15827,15145
15913,15053
16169,15759
16351,14838
16668,15667
16461,15421
16644,15083
15474,14500
15486,14132
14657,14132
14596,13948
14377,13671
14523,14377
14889,14408
15047,14408
15279,14562
15547,14439
15596,14869
15766,14132
