red,ir
15023,15319
15046,15448
15123,15466
15179,15646
14989,14500
13695,13515
13190,13391
13345,13805
13779,14270
14251,14652
14467,14730
14622,14877
14675,14822
14738,14868
14783,14932
14925,15190
14987,15066
14975,15038
14955,15024
15035,15135
14910,14532
14198,13920
13926,14003
14210,14449
14495,14762
14769,14919
14834,15098
15032,15337
15092,15411
15209,15416
15195,15498
15317,15637
15327,15706
15406,15706
15367,15692
15367,15535
14996,14518
14122,14182
14021,14274
14277,14656
14610,14882
14829,15167
14985,15259
15051,15333
15097,15296
15152,15434
15224,15434
15281,15508
15348,15586
15368,15572
15425,15706
15449,15558
15149,14781
14417,14334
14366,14642
14639,14983
14920,15245
15058,15255
15178,15448
15238,15374
15226,15439
15262,15342
15262,15351
15267,15218
15324,15374
15373,15319
15442,15466
15423,15245
15270,14854
14843,14587
14877,14919
15027,15006
15166,15130
15179,15116
15293,15250
15325,15379
15427,15328
15391,15402
15495,15466
15500,15577
15605,15567
15591,15706
15660,15646
15535,15452
15267,14886
14913,15006
15099,15245
15264,15402
15365,15471
15464,15673
15569,15706
15595,15687
15591,15637
15627,15706
15677,15775
15763,15839
15753,15853
15792,15867
15806,15890
15703,15429
15138,15029
15025,15144
15167,15411
15367,15554
15494,15830
15595,15747
15583,15595
15547,15475
15531,15466
15610,15554
15636,15618
15725,15807
15794,15844
15854,15917
15729,15324
15037,14288
14280,13961
14285,14242
14452,14343
14661,14564
14809,14606
14948,14863
15066,14836
15149,14969
15185,14840
15226,14997
15281,15038
15408,15333
15524,15365
15464,14716
14180,13230
13429,13082
13418,13317
13665,13607
13968,14035
14421,14504
14685,14725
14891,14748
14929,14854
15107,14951
15140,15089
15284,15121
15288,15268
15463,15370
15445,15167
14791,13727
13575,13354
13521,13418
13667,13846
14148,14348
14582,14734
14891,14951
15112,15204
15267,15337
15385,15411
15464,15531
15559,15581
15588,15673
15638,15650
15638,15604
15540,14698
14223,13469
13547,13207
13648,13524
13944,13906
14330,14247
14654,14555
14896,14799
15039,14942
15131,14923
15215,15121
15313,15135
15351,15264
15444,15333
15583,15540
15597,15130
15090,14053
14012,13556
13913,13897
14170,14182
14599,14753
14992,15075
15267,15360
15363,15471
15540,15623
15621,15678
15713,15788
15742,15853
15873,15913
15864,15936
15947,15885
15593,14836
14529,14127
14210,14288
14520,14711
14889,15259
15361,15558
15523,15853
15751,15991
15823,16134
15959,16212
15962,16253
16063,16322
16093,16474
16218,16562
16226,16589
16160,15977
15379,14790
14664,14730
14795,15080
15124,15388
15399,15480
15475,15563
15560,15475
15602,15577
15650,15600
15724,15655
15739,15613
15724,15692
15813,15738
15842,15917
15895,15646
15506,14403
14273,13621
13928,13612
14113,13961
14414,14362
14769,14776
14980,14845
15063,15001
15159,15080
15363,15406
15471,15328
15523,15485
15602,15512
15739,15793
15802,15540
14980,13860
13429,13013
13005,13000
13000,13128
13133,13464
13233,13455
13238,13358
13121,13207
13142,13280
13144,13326
13260,13414
13286,13469
13427,13607
