red,ir
16471,16708
15889,16354
15565,16050
15375,15801
15134,15832
15197,15932
15363,15950
15419,16031
15443,16006
15502,16105
15689,16366
15843,16403
15984,16453
16037,16565
16171,16596
16220,16584
16369,16819
16500,16683
16142,16087
15421,15534
14817,14895
14503,14758
14269,14684
14223,14609
14240,14709
14415,14826
14479,14864
14537,14858
14671,15187
14900,15298
15170,15503
15268,15795
15548,16006
15804,16205
15918,16354
16069,16422
16227,16552
16398,16453
15903,15708
15168,14975
14593,14802
14396,14597
14284,14597
14281,14696
14435,14795
14556,14808
14661,14982
14700,14870
14788,14920
14781,15087
15036,15267
15185,15329
15316,15671
15621,16006
15872,16118
16093,16317
16145,16186
15969,15702
15207,15249
14815,15050
14681,14963
14552,15007
14556,14988
14632,14951
14732,15031
14793,15137
14939,15205
14963,15379
15178,15441
15270,15454
15246,15447
15336,15466
15433,15497
15584,15727
15592,15423
15139,14690
14345,14261
14050,14193
14077,14243
14011,14286
14147,14572
14369,14535
14413,14479
14474,14597
14720,15100
15058,15683
15497,16068
15762,16143
15782,16124
15816,16130
15984,16310
16208,16584
16369,16472
16171,15615
15129,14646
14286,14038
13969,13951
13835,13901
13765,13864
13838,13895
14021,14044
14055,14001
14140,13988
14113,14230
14386,14442
14600,14640
14846,15000
15087,15230
15275,15292
15455,15559
15689,15708
15881,15708
15628,15224
14880,14261
14106,13814
13794,13647
13645,13516
13543,13411
13665,13684
13884,13877
14089,13920
13994,13982
14111,14032
14213,14088
14323,14156
14515,14379
14637,14330
14778,14560
14888,14702
15095,14783
15009,14479
14410,13715
13775,13324
13485,13212
13465,13256
13497,13324
13784,13883
14081,13951
14125,13895
14111,14044
14298,14311
14537,14510
14751,14907
15041,15093
15265,15261
15511,15590
15723,15727
15879,15509
15414,14901
14688,14112
14025,13641
13716,13479
13609,13380
13592,13398
13775,13734
13974,13914
14198,14013
14250,14280
14464,14423
14654,14597
14815,14951
15148,15286
15355,15329
15531,15522
15713,15702
15952,15795
15835,15460
15182,14522
14374,13951
13957,13783
13765,13591
13702,13641
13845,13951
14174,14137
14330,14230
14332,14355
14471,14435
14666,14659
14858,15056
15212,15441
15463,15584
15743,15838
15881,15919
16093,16099
16191,16273
16257,15919
15667,14944
14785,14454
14337,14150
14111,13771
13923,13659
13838,13759
14081,13796
14047,13914
14169,13920
14230,13926
14293,14193
14588,14516
14878,14851
15309,15249
15482,15211
15572,15273
15670,15497
15843,15634
15994,15727
16040,15491
15448,14485
14612,13908
14240,13945
14225,13808
14198,13821
14247,14150
14515,14206
14583,14280
14642,14417
14793,14609
15007,14696
15163,14926
15407,15211
15635,15404
15738,15615
16003,15882
16159,15894
16332,16273
16498,16068
16045,15336
15331,14870
14949,14386
14832,14547
14824,14634
15070,14858
15217,15106
15348,15255
15504,15454
15713,15696
15916,15975
16164,16068
16383,16341
16464,16540
16688,16683
16827,16782
16985,17000
17000,16559
16417,15683
15643,15211
15226,14789
15087,14764
14929,14709
14997,14709
15034,14820
