red,ir
15092,15703
15287,15641
15472,15774
15199,15783
15491,15837
15073,15685
15462,15641
14937,15765
15063,15676
14830,15685
14956,15676
15053,15668
14995,15819
15190,15765
15083,15872
15219,15739
15141,15703
15190,15703
15015,15632
14976,15694
15190,15499
15326,15685
15238,15561
15355,15694
15044,15463
15209,15347
14664,15436
14888,15339
14460,15294
14567,15187
14547,15134
14450,15178
14655,15187
14431,15258
14577,15339
14616,15276
14567,15267
14616,15152
14479,15285
14557,15090
14596,15294
14625,15258
14742,15347
14655,15321
14781,15419
14655,15339
14869,15241
14528,15330
14898,15303
14586,15303
14869,15267
14995,15241
14917,15125
14976,15161
14937,15241
15102,15081
14907,15161
14820,15072
14976,15116
15092,15223
15073,15187
15238,15312
15268,14974
15297,15285
15131,15205
15297,15196
15073,15063
15306,14929
14547,14956
14703,14840
14655,14849
14703,14912
14830,14876
14839,15001
14713,14894
14586,14965
14732,15063
14732,15196
15209,15170
15462,15250
15647,15427
15608,15258
15637,15481
15715,15347
15842,15605
15773,15632
15978,15801
15735,15694
15842,15703
15423,15632
15822,15668
15540,15819
15851,15837
15832,16166
16562,16059
16406,16112
16591,15988
16503,15979
16591,15979
16542,16006
16425,16050
16542,15970
16581,16023
16591,16130
16601,16086
16581,16192
16610,15881
16717,15997
16630,15757
16620,15845
16396,15659
16484,15641
15939,15516
16153,15516
15647,15499
15676,15472
15647,15463
15686,15383
15608,15427
15472,15516
15686,15552
15725,15552
15696,15650
15822,15570
15744,15810
15900,15614
15997,15837
15997,15676
16182,16139
16464,16397
17000,16504
16659,16441
16815,16379
16386,16441
16552,16290
16192,16299
16338,16192
16134,15988
15997,16014
16007,15908
15803,15872
15881,15703
15579,15365
15112,15445
14762,14983
14392,14965
14139,14645
14080,14627
14032,14467
14061,14645
13730,14547
14012,14574
13769,14636
14246,14689
13964,14912
14246,14787
14294,14867
14625,14885
14635,14921
14518,14921
14810,14876
14791,14867
14791,14992
14995,14760
15005,14938
14898,14707
14869,14778
14800,14618
14771,14600
14392,14511
14771,14467
14275,14547
14606,14485
14226,14583
14470,14440
14567,14520
14606,14520
14742,14431
14606,14440
14606,14414
14547,14476
14635,14476
14645,14458
14596,14449
14830,14298
14830,14414
14723,14289
14616,14262
14528,14325
14674,14316
14606,14360
14917,14476
14674,14565
15102,14511
14664,14689
14878,14600
14762,14654
14859,14663
14946,14583
14781,14663
14937,14627
14898,14547
15063,14680
14917,14476
14937,14511
14985,14298
15034,14369
14830,14271
14888,14405
14693,14431
14976,14360
14703,14280
15034,14342
14567,14396
14762,14236
14353,14200
14343,13862
14314,13711
14041,13818
14158,13693
14061,13809
14129,13800
13964,13595
13789,13578
13681,13391
13662,13631
13574,13364
13701,13551
13555,13578
13623,13658
13390,13640
13730,13675
13409,13702
13847,13738
13623,13800
13847,13747
13857,13667
13896,13684
13896,13569
13944,13720
14187,13604
14236,13453
14139,13453
13993,13337
13915,13426
13886,13222
14051,13337
13993,13249
14207,13337
13954,13000
