red,ir
13853,15104
13594,15181
13421,14934
13576,15366
13542,15427
14060,15505
13818,15582
14017,15212
13542,15551
14173,15828
14519,15905
14856,16291
14968,16152
14890,15828
14320,15397
13619,14580
13153,14564
13135,14950
14233,16029
14536,15936
14631,15720
14493,16106
14838,15751
14173,15566
14311,15443
13948,15181
14043,15258
14389,15643
14778,16414
15409,16599
15504,16106
14683,15597
14138,14873
13810,14826
13576,14657
13983,15027
13957,15350
14847,15967
14769,15566
14095,14564
13602,14857
14112,15273
14743,15813
15184,15874
15003,15705
14985,16121
15184,15797
15089,15720
14640,15350
14493,15227
15029,16090
15314,15767
15029,15335
14804,15566
15227,15489
14622,15304
14761,15335
14519,15412
14994,15751
15348,15952
15201,15551
15011,15474
15063,15643
15132,15366
14838,14888
14544,14919
14311,14364
14233,14641
14475,14657
14691,15011
14510,15042
14916,14903
14415,14826
14605,14857
14527,14842
14510,14980
14786,15273
15106,15767
15487,15612
15590,15474
15504,15412
14752,14241
14104,14348
14130,13932
13948,14318
13957,14071
14086,14225
13931,14194
14363,14302
14337,14703
14588,14626
14562,14595
14691,14626
14579,14441
14406,14318
14320,14256
14268,14133
14216,14456
14372,14071
14389,14348
14432,14487
14812,14795
14959,15119
15392,15289
15150,15335
15340,15258
15236,15196
15271,14903
15193,15073
15262,15057
15176,15057
15461,15150
15435,14950
15400,14842
15374,15150
15348,14688
15054,14903
15046,14765
15184,14318
14778,14595
15201,14703
15124,14610
15054,14533
15124,14348
15029,14734
15193,14610
14985,14503
14769,14271
14873,14287
14795,14287
14691,13793
14181,13362
13481,13000
13507,13069
13239,13177
13749,13161
13464,13408
13732,13346
13913,13531
14069,13824
14501,14163
14916,14379
14933,14241
14985,14364
15106,14595
15176,14379
15288,14811
15080,14225
14821,14472
14717,14271
15003,14395
14977,14703
15271,14518
15098,14641
15357,15150
15910,15150
15694,15335
15928,15366
16299,15227
15910,15119
15703,14857
15807,14842
15331,14379
15089,14456
14700,14163
14769,14056
14614,14287
15029,14348
14847,14780
15193,14718
15184,14688
15357,15042
15469,14780
15297,15088
15841,15150
15807,15119
15971,15597
15945,14842
15807,14857
15262,14271
14847,13840
14060,13608
14138,13531
14008,14009
14527,14241
14778,14456
14769,14364
14890,14518
14959,14641
15115,14980
15590,15042
15694,15150
15642,14919
15832,15119
15928,15042
15729,15011
15141,14456
15176,14503
14769,14718
15141,14703
14899,14749
15089,15073
15392,14980
15322,15273
15720,15443
15988,15366
15910,15505
16144,15844
16559,16137
16403,15443
16265,15720
16100,15335
15962,15381
15573,15582
15919,15258
15521,15335
15530,15027
15080,14765
15297,14980
15521,15088
15219,15011
15435,15088
15954,15242
15841,15443
15954,15535
16559,16121
16654,15690
16438,15720
16057,15505
16135,15767
16308,16229
17000,16429
16351,16090
16334,15828
16092,15489
15582,15042
15331,14980
15374,15535
16083,15350
16031,15042
16023,15520
16455,15350
16541,15612
16420,15443
16299,15273
15573,15135
16118,15258
15746,15381
16394,15782
16844,16553
