red,ir
16632,16538
16751,16641
16757,16648
16658,16157
16035,15442
15483,15018
15203,14819
15045,14610
15009,14801
15201,14978
15387,15128
15510,15337
15627,15425
15749,15496
15794,15634
15924,15813
16071,15958
16258,16152
16338,16253
16447,16255
16331,16012
15976,15381
15337,14821
15031,14617
14847,14465
14774,14381
14820,14561
14979,14811
15194,15030
15358,15234
15541,15467
15717,15693
15931,15828
16071,16059
16281,16177
16397,16386
16543,16646
16831,16850
16918,16928
16973,17000
17000,16803
16538,15993
15797,15435
15400,15064
15129,14774
14881,14708
15002,14988
15265,15256
15397,15356
15485,15479
15605,15563
15659,15641
15721,15732
15876,15853
15853,15865
15906,15843
15876,15877
15936,15939
15936,15941
15951,15749
15533,15103
14932,14507
14622,14327
14472,14266
14471,14325
14600,14536
14800,14772
14984,14968
15104,15005
15191,15239
15364,15369
15480,15465
15561,15619
15658,15656
15679,15700
15728,15796
15813,15857
15778,15472
15253,14853
14722,14418
14491,14185
14291,14207
14427,14465
14710,14738
14913,15052
15172,15214
15244,15236
15331,15408
15467,15580
15605,15659
15680,15845
15849,16015
15968,16091
16021,16164
16095,16216
16054,16034
15967,16061
15953,15865
15582,15194
14848,14531
14415,14192
14194,14104
14197,14128
14207,14168
14309,14308
14467,14516
14586,14499
14574,14568
14647,14725
14770,14799
14820,14806
14804,14833
14927,15042
15064,15096
15160,15256
15253,15278
15219,15076
14881,14575
14375,14023
13909,13581
13662,13404
13575,13441
13635,13596
13899,13871
13992,13971
14141,14131
14275,14261
14405,14399
14475,14499
14626,14701
14762,14762
14786,14823
14913,14971
14985,15008
14857,14548
14382,14092
13996,13790
13788,13657
13679,13431
13567,13495
13741,13821
14020,14072
14214,14330
14340,14391
14437,14507
14592,14691
14704,14826
14802,14892
14920,15057
14993,15165
15140,15325
15224,15369
15258,15349
15109,14959
14631,14399
14214,14121
13993,13826
13809,13748
13779,13875
14033,14131
14157,14335
14322,14455
14385,14485
14440,14585
14494,14647
14558,14740
14779,14968
14782,14880
14777,14961
14894,15067
14914,15005
14771,14757
14500,14300
14029,13821
13625,13394
13407,13303
13324,13291
13419,13505
13641,13728
13741,13743
13806,13834
13875,13875
13892,14052
14079,14163
14212,14271
14240,14322
14382,14558
14553,14610
14497,14458
14206,13952
13762,13517
13509,13399
13392,13193
13335,13347
13582,13802
13890,13981
14030,14114
14157,14288
14348,14588
14590,14713
14725,14924
14859,15130
15141,15361
15210,15477
15393,15740
15590,15911
15766,16135
15844,15902
15355,15185
14842,14816
14409,14335
14151,14251
14131,14406
14359,14720
14697,15062
14908,15219
15047,15440
15232,15558
15362,15725
15501,15857
15582,15870
15507,15821
15591,16017
15781,16223
15920,16292
15952,16290
15750,15752
15240,15251
14749,14774
14486,14647
14415,14718
14527,14836
14689,15108
14951,15310
15018,15376
15157,15602
15367,15705
15361,15818
15553,15993
15692,16140
15833,16346
15980,16449
16063,16381
15783,15843
15248,15322
14896,14971
14542,14733
14476,14715
14460,14811
