red,ir
15455,13843
15438,13843
15728,14030
15632,13947
15683,14127
15717,14176
15945,14474
16076,14474
16230,14627
16259,14661
16441,14772
16407,14717
16532,14821
16572,14765
16720,15022
16743,14869
16829,15057
16914,15091
17000,15064
16601,14536
16184,14627
16025,14536
16196,14606
16207,14509
16241,14578
16236,14557
16298,14550
16053,14446
16105,14564
16133,14557
16350,14751
16321,14613
16407,14696
16401,14682
16538,14786
16521,14800
16675,14842
16612,14835
16726,14918
16720,14932
16846,14876
16367,14509
16099,14481
15820,14398
15945,14523
15962,14488
16139,14488
16053,14481
16076,14543
15979,14432
15962,14467
15985,14481
16122,14516
16025,14481
16145,14516
16065,14509
16207,14481
16036,14363
16156,14384
15979,14370
16310,14432
16184,14460
16281,14245
15683,14044
15415,13926
15301,14030
15512,14009
15381,14051
15677,14044
15449,13974
15500,13870
15221,13988
15552,14231
15825,14453
15968,14314
15842,14502
16070,14446
15865,14474
16036,14294
15837,14370
16065,14370
15905,14460
16082,14412
16002,14432
15979,14162
15215,13995
15176,13995
15096,14120
15307,14072
15255,14148
15432,14155
15215,14113
15272,14030
15107,14189
15461,14238
15358,14328
15546,14245
15335,14301
15518,14238
15312,14176
15426,14099
15198,14155
15438,14120
15210,14078
15483,14085
15141,13933
14788,13669
14349,13683
14583,13711
14509,13836
14731,13815
14606,13870
14748,13815
14423,13919
14640,14023
14714,14335
15005,14363
14902,14502
15147,14620
15255,14745
15312,14675
15198,14772
15404,14793
15364,14904
15478,14967
15620,14946
15284,14654
14760,14550
14594,14460
14594,14523
14691,14481
14628,14474
14668,14453
14549,14377
14457,14474
14589,14516
14526,14599
14589,14634
14674,14710
14674,14661
14577,14668
14748,14689
14856,14821
14868,14911
15010,15112
15181,15022
15153,15085
14885,14932
14463,15001
14429,15050
14589,15251
14771,15216
14703,15425
14828,15300
14583,15223
14492,15078
14361,15244
14509,15175
14480,15327
14611,15230
14554,15182
14606,15258
14646,15196
14634,15216
14554,15147
14663,15175
14611,15196
14691,15168
14338,14807
13728,14731
13591,14606
13654,14751
13677,14640
13734,14897
13802,14751
13654,14849
13585,14779
13591,14946
13671,14890
13671,15043
13654,14987
13870,15272
13922,15209
13962,15279
14070,15286
14064,15369
14144,15362
14304,15640
14338,15369
13836,15293
13580,15244
13557,15431
13665,15376
13699,15612
13819,15577
13762,15536
13682,15459
13591,15591
13642,15536
13671,15716
13808,15640
13836,15855
13990,15917
14047,16049
14081,16021
14235,16313
14275,16188
14406,16562
14600,16417
14611,16479
13990,16118
13779,16215
13865,16181
13984,16313
13939,16236
14058,16417
13967,16202
13927,16354
13887,16264
13950,16437
14098,16403
14104,16632
14178,16472
14252,16805
14252,16555
14361,16833
14400,16743
14469,16833
14554,16791
14742,17000
14349,16639
13830,16604
13671,16500
13939,16812
13910,16625
13927,16694
13944,16458
13751,16562
13620,16458
13694,16639
13671,16396
13796,16590
13785,16514
13870,16736
13927,16687
14019,16826
13996,16777
14121,16888
14178,16798
14309,16875
