red,ir
15705,15816
15951,16020
16159,16383
16442,16368
16062,15645
15058,14576
14084,13723
13512,13371
13307,13274
13397,13512
13692,13801
13894,13868
13967,14046
14136,14146
14390,14498
14636,14706
14932,15010
15174,15363
15510,15619
15728,15830
15811,15578
15138,14643
14067,13634
13311,13122
13000,13040
13093,13233
13460,13582
13766,13894
13930,13964
14102,14202
14311,14387
14633,14788
14889,15018
15256,15367
15520,15749
15884,16060
16162,16302
16276,16083
15622,15077
14550,14205
13903,13753
13662,13671
13762,13908
14038,14120
14233,14391
14371,14380
14456,14491
14593,14721
14889,15066
15110,15311
15441,15545
15626,15882
15991,16183
16226,16224
15968,15678
15065,14636
14160,13960
13735,13753
13709,13871
13967,14172
14233,14309
14415,14524
14475,14532
14612,14780
14820,15033
15126,15281
15273,15515
15603,15827
15842,16127
16103,16246
16089,15823
15254,14862
14167,13805
13432,13281
13134,13248
13238,13367
13531,13708
13750,13812
13894,14012
14027,14187
14304,14420
14513,14747
14849,15036
15076,15300
15387,15563
15695,15849
15920,15997
15731,15326
14743,14268
13783,13474
13219,13051
13079,13170
13301,13448
13717,13849
13967,14075
14214,14239
14339,14532
14666,14843
15022,15177
15320,15482
15579,15723
15909,16094
16235,16439
16522,16650
16634,16428
15928,15359
14941,14554
14276,14172
14174,14183
14256,14450
14619,14721
14804,14955
14934,14973
15038,15114
15202,15400
15472,15649
15750,15942
16013,16201
16254,16424
16546,16765
16818,16869
16840,16584
16076,15630
15217,14903
14550,14547
14534,14651
14692,15007
15100,15333
15313,15474
15418,15515
15505,15585
15595,15879
15844,16042
16055,16216
16264,16454
16456,16598
16667,16914
16899,16929
16738,16387
15752,15333
14828,14539
14281,14343
14217,14324
14352,14565
14619,14792
14882,14984
14960,15099
15070,15188
15256,15508
15529,15734
15811,15938
16044,16272
16342,16532
16667,16851
16873,16865
16653,16242
15646,15226
14823,14532
14275,14331
14257,14402
14493,14662
14769,15007
15027,15148
15136,15285
15299,15444
15555,15726
15833,16049
16051,16220
16321,16576
16621,16713
16877,16966
16999,16999
16774,16294
15683,15255
14877,14550
14384,14350
14359,14432
14652,14795
14916,15096
15124,15207
15262,15367
15454,15608
15660,15760
15896,15971
16098,16060
16224,16257
16389,16472
16646,16632
16660,16398
16069,15448
14987,14628
14354,14139
14107,13983
14145,14261
14472,14532
14712,14780
14885,14810
14932,14851
15015,15081
15176,15166
15411,15448
15629,15719
15942,16046
16233,16528
16629,16676
16541,16175
15726,15226
14792,14443
14157,14009
13918,13845
13991,14027
14275,14346
14470,14432
14494,14450
14515,14406
14671,14691
14896,14869
15053,14944
15197,15278
15518,15563
15717,15838
15934,15741
15563,14966
14534,14016
13653,13285
13228,13000
13167,13144
13460,13493
13787,13845
14022,13901
14126,14038
14268,14228
14543,14580
14778,14773
15022,14996
15193,15259
15532,15508
15757,15801
15932,15667
15486,14910
14527,14027
13825,13523
13574,13471
13685,13756
14050,14020
14363,14328
14544,14458
14707,14662
14861,14888
