red,ir
13131,13202
13469,13574
13736,13801
13954,13925
14090,14205
14369,14414
14597,14591
14722,14687
14859,14910
15074,14999
15097,14733
14504,14226
14172,13985
13928,13879
13903,13896
14086,14099
14276,14283
14497,14535
14705,14627
14873,14811
15005,14907
15192,15074
15262,15201
15372,15208
15274,14801
14655,14279
14268,14049
14118,13840
14003,13829
13998,13840
14137,13896
14148,13978
14258,14063
14394,14198
14452,14265
14583,14457
14755,14520
14854,14606
14719,14216
14186,13701
13738,13432
13552,13184
13352,13000
13271,13085
13459,13237
13582,13244
13666,13439
13851,13595
14055,13783
14239,14035
14486,14255
14737,14549
14871,14481
14533,14223
14360,14127
14352,14177
14371,14219
14534,14489
14812,14822
15131,15074
15390,15315
15721,15722
16123,16088
16468,16343
16739,16619
16928,16683
17000,16506
16460,16010
16101,15744
15823,15556
15651,15453
15656,15602
15903,15768
16036,15907
16144,15924
16240,16038
16371,16272
16604,16407
16741,16488
16813,16602
16858,16396
16394,15882
15956,15641
15716,15446
15583,15315
15457,15361
15624,15488
15789,15581
15859,15726
15970,15836
16135,15971
16312,16197
16525,16329
16690,16407
16640,16190
16144,15666
15655,15293
15339,15102
15206,15066
15191,15045
15326,15155
15354,15113
15385,15162
15446,15300
15585,15403
15744,15549
15875,15648
15939,15708
15827,15201
15261,14772
14849,14471
14605,14216
14347,14088
14277,14074
14409,14251
14537,14340
14680,14542
14870,14591
15016,14769
15141,14953
15335,15084
15402,15031
15058,14496
14565,14201
14329,14031
14151,13850
13960,13755
14135,14091
14353,14240
14505,14343
14605,14510
14773,14641
14914,14804
15053,14932
15156,15066
15232,14861
14840,14382
14330,14099
14165,14045
14083,14056
14127,14219
14365,14453
14545,14609
14698,14804
14904,14907
15084,15144
15210,15258
15443,15495
15576,15648
15582,15283
15005,14740
14519,14439
14241,14251
14095,14145
14105,14301
14245,14439
14448,14567
14508,14765
14689,14903
14893,15116
15066,15304
15288,15485
15429,15556
15521,15478
15048,14896
14594,14620
14305,14467
14144,14262
14042,14357
14259,14655
14468,14783
14578,14850
14724,15010
14896,15141
15086,15364
15253,15563
15446,15698
15506,15588
15137,15035
14562,14627
14276,14414
14148,14418
14163,14563
14477,14864
14621,14996
14777,15116
14914,15318
15162,15566
15374,15726
15560,15928
15794,16215
15998,16212
15824,15779
15149,15251
14824,15052
14582,14949
14543,15013
14732,15254
14941,15393
15066,15503
15190,15559
15360,15776
15503,15917
15702,16137
15842,16272
16012,16350
15865,15846
15206,15347
14797,15155
14644,14942
14564,15035
14680,15308
14982,15446
15102,15534
15248,15733
15441,15903
15654,16088
15861,16311
16038,16435
16219,16584
16172,16293
15522,15520
14931,15159
14605,14942
14438,14793
14381,14857
14649,15254
14904,15378
15058,15442
15151,15623
15320,15783
15497,15917
15661,16080
15849,16258
15973,16141
15544,15449
14801,14903
14429,14598
14143,14450
14053,14450
14237,14769
14505,14960
14657,15063
14819,15166
14997,15371
15130,15488
15362,15698
15504,15882
15654,15896
15465,15286
