red,ir
16067,16232
16189,16375
16294,16413
16421,16590
16489,16631
16593,16706
16658,16767
16725,16826
16808,16915
16928,17000
17000,16967
16716,16497
16202,16092
15779,15800
15557,15611
15340,15443
15200,15380
15170,15412
15233,15462
15267,15462
15269,15423
15289,15473
15323,15537
15387,15607
15471,15682
15558,15775
15644,15831
15724,15885
15785,15956
15867,16006
15968,16092
16013,16151
16120,16235
16173,16255
16236,16359
16288,16359
16375,16434
16450,16452
16298,16083
15835,15661
15387,15357
15149,15181
14936,15033
14787,14916
14738,14938
14791,15018
14860,15045
14870,15013
14892,15072
14916,15122
15024,15188
15082,15310
15192,15346
15278,15417
15353,15503
15451,15580
15525,15632
15645,15759
15698,15843
15836,15919
15890,15992
16004,16083
16078,16133
16189,16244
16278,16339
16366,16366
16473,16493
16565,16574
16546,16284
16053,15881
15593,15534
15300,15305
15076,15115
14876,14986
14763,14900
14792,14984
14851,15052
14907,15051
14871,15045
14894,15101
14958,15137
15025,15213
15114,15348
15239,15389
15336,15484
15390,15562
15510,15647
15571,15741
15660,15784
15728,15842
15813,15894
15878,15944
15934,15951
15936,15818
15585,15466
15250,15208
15000,15065
14895,14988
14871,14990
14940,15045
14973,14933
14888,14811
14861,14827
14868,14873
14955,14922
14995,14984
15062,15036
15148,15103
15196,15128
15242,15178
15299,15122
15323,15183
15369,15187
15441,15276
15510,15403
15635,15509
15769,15614
15871,15724
15994,15858
16098,15890
16178,15981
16253,16035
16312,15926
15923,15432
15371,14993
14973,14707
14688,14487
14486,14353
14321,14224
14296,14281
14338,14299
14383,14294
14344,14326
14388,14381
14447,14433
14529,14485
14612,14592
14704,14623
14787,14721
14851,14807
14954,14890
15020,14941
15104,15029
15166,15054
15257,15149
15364,15258
15352,15029
14985,14626
14518,14315
14256,14118
14019,13945
13860,13810
13787,13807
13865,13902
13933,13973
13980,13977
14039,14039
14063,14100
14159,14152
14239,14245
14345,14362
14467,14471
14599,14578
14713,14736
14853,14791
14959,14918
15045,15004
15161,15077
15219,15145
15329,15240
15405,15265
15353,15038
14975,14648
14526,14270
14246,14106
14019,13925
13887,13848
13804,13862
13886,13957
13953,13952
13968,13970
14007,14063
14075,14093
14185,14215
14254,14315
14393,14408
14467,14480
14551,14541
14619,14600
14686,14666
14768,14754
14843,14755
14931,14845
14991,14916
15079,14868
14823,14535
14371,14163
14004,13916
13789,13751
13654,13649
13560,13597
13630,13719
13715,13778
13755,13794
13761,13844
13827,13902
13930,13984
14027,14088
14135,14210
14246,14238
14333,14322
14383,14405
14494,14440
14534,14521
14624,14584
14712,14659
14780,14703
14859,14791
14938,14796
15009,14884
15061,14872
14973,14585
14455,14124
13978,13803
13695,13599
13479,13415
13302,13324
13249,13329
13351,13449
13438,13501
13492,13497
13485,13544
13556,13603
13649,13691
13744,13793
13855,13907
13968,13939
14069,14081
14147,14136
14269,14236
14329,14338
14473,14464
14595,14553
14726,14728
14874,14872
14968,14904
15067,15035
15163,15128
15293,15158
