red,ir
13918,14097
14054,14173
14113,14184
14173,14293
14308,14438
14344,14122
13822,13555
13326,13432
13428,13737
13721,14209
14185,14591
14440,14689
14494,14660
14485,14533
14391,14373
14408,14402
14396,14471
14529,14613
14594,14685
14719,14700
14573,14188
13795,13526
13388,13552
13488,13770
13812,14122
14089,14311
14227,14224
14094,14148
14046,14169
14088,14169
14198,14336
14380,14609
14577,14674
14753,14743
14385,13970
13514,13330
13115,13145
13156,13403
13418,13701
13716,13984
13884,13991
13801,13788
13752,13911
13835,14093
14049,14333
14301,14478
14378,14431
14402,14373
14132,13653
13287,13214
13000,13138
13040,13210
13166,13519
13512,13792
13692,13792
13639,13755
13635,13893
13795,13988
14026,14235
14182,14405
14488,14638
14677,14703
14298,13788
13352,13221
13012,13000
13125,13330
13416,13624
13832,14009
14071,14140
14184,14155
14215,14260
14384,14464
14584,14649
14806,14881
15068,15089
15257,15194
15201,14565
14119,13741
13622,13628
13699,13882
14078,14409
14667,14827
14933,14841
15043,14972
15126,15103
15305,15252
15409,15365
15577,15586
15734,15630
15823,15626
15546,14783
14356,13926
13953,13915
13997,14231
14360,14598
14758,14892
14934,14983
14964,14954
15019,15034
15153,15201
15337,15339
15561,15528
15668,15673
15664,15074
14504,13973
13733,13693
13649,13741
13713,13850
13997,14344
14461,14623
14646,14667
14634,14674
14768,14852
14936,14950
15098,15121
15350,15434
15515,15408
15196,14296
13792,13537
13387,13377
13274,13363
13328,13537
13640,14028
14109,14257
14291,14336
14330,14384
14496,14540
14727,14947
15099,15201
15323,15328
15446,15459
15578,15506
15108,14242
13882,13762
13584,13704
13647,13766
13668,13991
14028,14409
14419,14580
14515,14613
14594,14831
14841,15012
15136,15263
15319,15459
15568,15633
15672,15724
15768,15830
15823,15575
15034,14235
13887,13893
13718,13806
13781,13988
13943,14380
14492,14707
14687,14765
14740,14871
14899,15034
15205,15376
15516,15695
15751,15851
15934,16033
15993,16138
16113,16226
16199,16316
16257,16338
15927,15288
14618,14485
14388,14671
14582,14925
15027,15401
15517,15808
15809,15913
15843,15935
15906,16098
16074,16222
16216,16291
16307,16415
16376,16447
16451,16433
16419,16473
16467,16491
16509,16425
16367,15833
15461,15132
15213,15263
15588,15710
15933,16004
16208,16142
16210,16189
16196,16128
16209,16131
16258,16244
16347,16425
16396,16324
16467,16447
16450,16473
16533,16433
16495,16186
15799,15132
14853,14725
14853,14958
15202,15390
15661,15753
16043,16026
16129,16051
16196,16091
16191,16160
16272,16186
16344,16240
16431,16295
16469,16378
16524,16367
16609,16422
16541,16142
15898,15223
15384,15194
15520,15430
15785,15750
16139,16062
16391,16266
16433,16222
16443,16255
16427,16371
16530,16386
16586,16455
16613,16498
16674,16560
16693,16469
16717,16549
16688,16298
16206,15644
15785,15655
15957,15899
16165,16117
16378,16273
16502,16415
16548,16349
16538,16393
16510,16440
16624,16527
16636,16542
16691,16687
16722,16745
16755,16712
16775,16796
16782,16745
16605,16113
15820,15681
15789,15851
