red,ir
14882,14110
14387,13779
14153,13608
14104,13667
14293,13937
14737,14325
15034,14566
15210,14656
15332,14781
15506,14999
15710,15119
15873,15247
15986,15164
15476,14422
14677,13932
14166,13545
13949,13422
13909,13478
14132,13814
14570,14138
14869,14386
15072,14580
15259,14706
15489,14966
15655,15098
15871,15273
15971,15167
15517,14495
14673,13890
14151,13507
13868,13422
13879,13438
14124,13828
14550,14185
14925,14427
15058,14542
15215,14720
15431,14909
15628,15119
15849,15299
15993,15309
15805,14803
14915,14093
14302,13689
13990,13537
13981,13606
14150,13845
14556,14259
14952,14519
15108,14547
15234,14755
15421,14970
15688,15193
15895,15420
16125,15519
15975,14952
15048,14273
14430,13897
14154,13672
14085,13774
14262,14032
14672,14289
14891,14498
15063,14649
15242,14840
15439,15046
15626,15212
15816,15332
15977,15458
15802,14888
14935,14209
14244,13788
13922,13580
13822,13559
13921,13769
14217,14053
14488,14178
14638,14311
14761,14427
14900,14554
15006,14732
15243,14928
15382,14890
15064,14306
14181,13641
13625,13282
13371,13211
13281,13180
13544,13637
14024,14114
14456,14306
14593,14431
14745,14682
15013,14869
15207,15027
15421,15342
15695,15363
15429,14779
14533,14126
13943,13760
13595,13689
13669,13871
13933,14244
14394,14632
14798,14916
14934,14959
15057,15112
15188,15309
15406,15420
15403,15363
15454,15413
15281,14829
14356,13999
13586,13492
13115,13202
13000,13232
13130,13502
13480,13864
13870,14304
14268,14578
14535,14918
14941,15285
15308,15578
15520,15689
15673,15661
15250,14900
14350,14346
13829,14086
13649,14041
13630,14067
13810,14422
14329,14963
14849,15266
15127,15495
15256,15600
15433,15801
15685,16122
15961,16191
15959,15964
15384,15214
14465,14590
13948,14299
13810,14242
13742,14244
13959,14507
14299,14859
14634,15053
14787,15245
15015,15462
15152,15474
15306,15661
15593,15888
15765,15850
15347,15108
14375,14585
13977,14422
13941,14476
13987,14592
14161,14767
14503,15082
14878,15425
15145,15616
15356,15822
15476,15883
15574,15924
15596,15928
15651,15848
15281,15221
14471,14576
13886,14247
13687,14110
13682,14209
13921,14547
14352,14900
14641,15117
14859,15311
15030,15481
15302,15687
15468,15869
15667,15976
15870,16101
15686,15569
14875,14869
14199,14516
13971,14412
14010,14597
14300,14859
14641,15070
14796,15122
14902,15266
14980,15354
15168,15517
15326,15751
15621,15987
15807,16075
15850,15808
15272,15370
14831,15072
14674,15091
14715,15233
14976,15529
15260,15796
15534,16042
15823,16247
15968,16333
16124,16531
16317,16640
16531,16855
16682,17000
16860,16888
16277,16210
15494,15763
15154,15611
15103,15760
15287,15964
15607,16207
15842,16257
15855,16219
15932,16295
15966,16359
16097,16475
16300,16661
16505,16877
16645,16673
16051,16006
15311,15600
15011,15467
15038,15590
15150,15727
15462,15978
15676,16181
15857,16264
15950,16328
16041,16413
16232,16581
16426,16749
16683,16983
16824,16862
16344,16193
15517,15741
15171,15576
15060,15510
15127,15682
15443,16032
15784,16186
15941,16337
16041,16458
16279,16593
16394,16789
