red,ir
15302,16034
15416,16105
15684,16238
15753,16149
15860,16292
16044,16372
16174,16550
16181,16051
15057,15678
14560,15420
14200,15473
14154,15402
14154,15553
14506,15669
14835,16051
15309,16042
15401,16203
15615,16292
15653,16487
15791,16309
15814,16470
15936,16523
16212,16559
16441,16736
16541,16879
16755,16932
16709,16799
16265,16212
15126,15704
14522,15446
14116,15357
14086,15446
14154,15277
14323,15687
14743,15580
14935,15776
14980,15678
15156,15749
15149,15740
15393,15953
15600,15962
15860,16229
16181,16461
16533,16665
16762,16728
17000,16870
16831,16603
16479,16247
15263,15411
14720,15340
14346,15117
14284,15384
14369,15251
14720,15651
15057,15776
15393,15980
15348,15669
15378,15882
15355,15624
15478,15829
15539,15678
15699,15971
15883,15891
15975,16131
16120,16087
16128,16176
16028,15847
15133,15304
14284,14939
14139,14948
13864,14797
14032,15037
14277,15251
14782,15420
14866,15589
15218,15571
14873,15482
15271,15562
15065,15571
15523,15598
15401,15704
15669,15722
15493,15865
15944,15873
15715,15811
15317,15251
14170,14957
14078,14886
13726,14886
13810,14832
13871,14975
14330,15233
14606,15624
15156,15589
15034,15669
15317,15802
15516,15865
15592,15909
15600,15704
15638,15784
15745,15678
15631,15767
15745,15687
15699,15589
14843,14806
13925,14601
13642,14459
13382,14476
13520,14583
13504,14752
13994,14797
14338,15099
14483,15037
14575,15171
14843,15242
14896,15268
15126,15473
15409,15518
15585,15740
15653,15606
15761,15793
15745,15731
15868,15873
15898,15357
14904,14966
14147,14485
13757,14539
13550,14361
13481,14476
13634,14379
14040,14895
14713,15197
15034,15464
15149,15171
15317,15464
15363,15197
15210,15251
15240,15019
15485,15304
15661,15366
15982,15740
16128,15562
16395,15793
16349,15509
15631,15010
14583,14423
14269,14432
14086,14343
14223,14628
14376,14726
14919,15108
15103,15108
15210,15064
14927,14984
15263,15090
15133,15090
15493,15384
15523,15473
15998,15473
15699,15411
15883,15206
15577,15001
15439,14459
13979,13818
13696,13507
13046,13685
13527,13747
13145,13791
13719,13934
13803,14254
14529,14459
14667,14654
15156,14797
15095,14850
15286,14850
15416,15010
15676,14868
15501,14619
15340,14307
15126,14192
15294,14388
15187,13987
14246,13453
13512,13222
13221,13213
13099,13195
13000,13169
13221,13249
13420,13480
13940,13533
13849,13622
14254,13774
14445,14049
14797,14103
14896,14307
15118,14307
15202,14361
15309,14236
15187,14174
15332,14290
15332,14174
14835,13765
13810,13071
13351,13195
13084,13000
13061,13088
13214,13160
13711,13596
14101,13578
14384,13827
14468,13676
14598,13863
14667,13765
14919,14005
14927,13960
15133,13969
15088,13996
15485,14334
15791,14601
16380,14832
16112,14583
15692,13943
14575,13756
14644,13702
14086,13382
13818,13195
13527,13115
14024,13240
14055,13320
14529,13720
14904,14281
15508,14450
15416,14423
15692,14307
15424,14245
15638,14307
15638,14530
16097,14459
15806,14432
16120,14272
15898,14494
16097,14254
15164,14147
15095,14049
14667,13952
14782,13845
14782,14112
15523,14325
15554,14521
16097,14610
