red,ir
16313,16287
16176,16228
16098,16213
16176,16285
16244,16414
16326,16434
16380,16456
16425,16533
16497,16623
16595,16732
16702,16815
16790,16870
16896,17000
17000,16975
16968,16758
16595,16473
16374,16320
16220,16283
16197,16300
16252,16349
16326,16388
16367,16421
16390,16463
16442,16506
16477,16526
16527,16539
16591,16585
16658,16682
16720,16653
16673,16504
16352,16134
16080,15904
15826,15700
15711,15660
15642,15702
15710,15724
15737,15748
15776,15790
15823,15849
15885,15936
15977,16031
16067,16121
16149,16219
16224,16193
16207,16059
15911,15724
15615,15557
15364,15345
15183,15167
15053,15200
15123,15257
15176,15349
15247,15406
15330,15489
15424,15599
15530,15658
15634,15702
15751,15820
15847,15818
15914,15816
15727,15472
15417,15253
15158,15053
14994,14963
14897,14990
14987,15082
15084,15191
15215,15248
15275,15349
15395,15441
15491,15542
15605,15682
15704,15698
15775,15757
15860,15838
15805,15586
15485,15356
15202,15088
14963,14933
14763,14825
14731,14797
14762,14902
14847,14933
14893,15044
14993,15125
15091,15154
15143,15264
15258,15360
15347,15448
15430,15430
15397,15237
15091,14983
14762,14672
14482,14507
14270,14325
14194,14382
14237,14468
14374,14595
14452,14731
14577,14755
14686,14891
14829,15020
14973,15106
15106,15242
15257,15371
15394,15360
15223,15108
14906,14816
14635,14654
14430,14459
14301,14433
14260,14431
14348,14466
14378,14542
14475,14624
14560,14713
14691,14838
14834,14944
14949,15040
15062,15079
15179,15152
15152,14996
14852,14707
14557,14507
14302,14293
14149,14260
14082,14258
14189,14439
14300,14455
14399,14461
14415,14457
14461,14525
14566,14722
14695,14830
14830,14985
14963,15088
15026,14990
14812,14716
14476,14496
14188,14247
13954,14056
13818,13924
13834,14027
13927,14139
14050,14187
14094,14299
14208,14330
14302,14444
14431,14562
14550,14659
14681,14808
14814,14880
14810,14749
14520,14415
14213,14220
13984,14111
13861,13990
13885,14122
14012,14242
14154,14288
14240,14277
14308,14507
14432,14639
14527,14589
14634,14694
14787,14944
14984,15233
15138,15373
15111,15025
14757,14595
14434,14400
14273,14315
14230,14400
14354,14499
14491,14575
14557,14595
14663,14643
14706,14757
14827,14854
14936,14902
14996,14961
15069,14948
15169,15040
15209,14955
14952,14652
14652,14485
14414,14205
14231,14082
14142,14080
14215,14135
14263,14216
14368,14268
14413,14385
14557,14499
14674,14637
14808,14722
14938,14825
15059,14961
15155,14937
14956,14621
14614,14356
14339,14133
14149,14038
14036,13940
14070,14034
14169,14144
14300,14198
14351,14253
14488,14354
14577,14556
14748,14665
14873,14735
14969,14755
15038,14744
14851,14518
14537,14297
14319,14152
14198,14106
14110,13997
14107,13968
14162,13920
14216,14091
14277,14196
14442,14369
14568,14512
14717,14558
14786,14606
14885,14674
14988,14720
14904,14580
14617,14369
14363,14222
14194,14060
14094,14043
14135,14100
14200,14133
14270,14190
14322,14183
14404,14290
14456,14356
14587,14444
14652,14597
14761,14700
14857,14718
14808,14580
14526,14323
14286,14104
14112,13955
14028,13984
