red,ir
15338,15303
15439,15376
15498,15532
15602,15593
15715,15768
15845,15800
15963,15940
16036,15960
16146,16011
16181,16033
16272,15991
16037,15666
15735,15440
15474,15325
15368,15264
15285,15191
15310,15357
15423,15427
15506,15519
15577,15586
15697,15644
15781,15749
15868,15800
16006,15950
16112,16023
16229,16154
16279,16205
16376,16145
16118,15873
15834,15612
15520,15414
15420,15338
15265,15354
15308,15401
15410,15421
15436,15507
15517,15606
15618,15724
15718,15720
15818,15864
15927,16007
16052,16039
16128,16125
16204,16183
16309,16180
16147,15842
15800,15621
15481,15373
15282,15229
15115,15169
15152,15248
15188,15376
15307,15433
15357,15618
15484,15695
15586,15720
15678,15851
15790,15976
15921,16106
16043,16202
16139,16272
16250,16358
16242,16154
15967,15905
15627,15548
15370,15468
15214,15274
15137,15338
15170,15395
15289,15523
15339,15586
15484,15708
15537,15864
15672,15912
15733,15963
15828,16046
15902,16039
15946,16062
15997,15988
16073,16011
15974,15797
15629,15446
15324,15312
15168,15242
15144,15341
15180,15478
15340,15641
15382,15685
15489,15730
15474,15711
15452,15427
15268,15242
15300,15331
15424,15411
15513,15532
15579,15481
15540,15452
15530,15223
15226,14859
14871,14594
14630,14387
14482,14295
14398,14240
14490,14441
14612,14559
14738,14633
14738,14652
14811,14575
14823,14700
15005,14881
15085,14977
15222,15153
15421,15430
15612,15634
15725,15641
15514,15303
15116,14878
14777,14582
14552,14524
14443,14384
14410,14486
14460,14480
14535,14572
14573,14652
14724,14760
14743,14885
14882,14853
14871,14757
14875,14693
14942,14786
15038,14866
15133,14984
15117,14939
14844,14566
14492,14282
14255,14125
14132,14027
14085,14177
14203,14212
14313,14304
14378,14298
14457,14429
14522,14508
14669,14582
14719,14732
14890,14786
14922,14901
15038,14856
15057,14964
15176,14913
14940,14591
14585,14310
14309,14039
14097,13931
13997,13838
14079,13979
14228,14170
14318,14205
14407,14320
14515,14330
14652,14547
14769,14578
14931,14786
15035,14977
15296,15213
15409,15440
15593,15462
15495,15188
15103,14767
14763,14543
14535,14393
14418,14566
14591,14945
14832,15012
14790,14808
14833,14913
14952,15191
15190,15414
15273,15382
15374,15612
15480,15583
15514,15526
15469,15539
15588,15567
15421,15306
15039,14913
14628,14645
14400,14444
14230,14259
14124,14330
14255,14438
14343,14521
14429,14559
14483,14661
14595,14747
14702,14834
14818,15006
14935,14993
15064,15239
15208,15331
15310,15373
15237,15153
14920,14741
14474,14524
14231,14272
14029,14161
13943,14202
14031,14317
14134,14480
14258,14578
14351,14680
14457,14716
14549,14802
14699,14936
14780,14984
14862,15086
14992,15121
15078,15210
15116,15153
14918,14872
14471,14518
14145,14138
13823,13918
13686,13810
13657,13877
13738,13889
13810,13925
13841,13944
13880,13851
13884,13947
13966,13950
14057,14151
14233,14377
14339,14358
14389,14384
14457,14355
14320,14084
13895,13574
13511,13296
13192,13086
13091,13000
13000,13063
13084,13031
13096,13137
13243,13315
13370,13526
13532,13542
13606,13606
13756,13807
